,precision,recall,f1-score,support
0,0.991869918699187,0.9959183673469387,0.9938900203665988,980.0
1,0.9964850615114236,0.9991189427312775,0.9978002639683238,1135.0
2,0.99609375,0.9883720930232558,0.9922178988326849,1032.0
3,0.9950445986124876,0.994059405940594,0.9945517582961863,1010.0
4,0.9888211382113821,0.9908350305498982,0.9898270600203459,982.0
5,0.98989898989899,0.9887892376681614,0.9893438025799215,892.0
6,0.9947589098532494,0.9906054279749478,0.9926778242677824,958.0
7,0.9827089337175793,0.995136186770428,0.9888835186080231,1028.0
8,0.9938080495356038,0.9887063655030801,0.9912506433350489,974.0
9,0.9821073558648111,0.979187314172448,0.9806451612903225,1009.0
accuracy,0.9912,0.9912,0.9912,0.9912
macro avg,0.9911596705904714,0.991072837168103,0.9911087951565237,10000.0
weighted avg,0.9912138298269115,0.9912,0.9911993219006919,10000.0
